ID,Tipo,SKU,"GTIN, UPC, EAN, or ISBN",Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,Marcas,"Meta: surerank_seo_checks_last_updated","Meta: _wl_product_rarity","Meta: _uag_css_file_name"
2582,simple,,,Noctheris,1,1,visible,,"<p>Los Noctheris son nobles de los Reinos Crepusculares. Organizan bailes bajo eclipses parciales y consideran las pesadillas una forma refinada de arte.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Alienígenas,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/noctheris.png,,,,,,,,,0,,1779816959,Mítico,
2583,simple,,,Auraliths,1,1,visible,,"<p>Los Auraliths proceden de lunas cubiertas por niebla violeta. Sus cuerpos albergan pequeños portales biológicos que utilizan para almacenar objetos diminutos y recuerdos importantes.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/auraliths.png,,,,,,,,,0,,1779817096,Mítico,uag-css-2583.css
2584,simple,,,Mawlings,1,1,visible,,"<p>Los Mawlings expresan emociones mediante la posición de sus dientes. Cuando sonríen ampliamente, suele significar amistad... aunque pocos se atreven a comprobarlo.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/mawlings.png,,,,,,,,,0,,1779816376,Legendario,
2585,simple,,,Drowskats,1,1,visible,,"<p>Los Drowskats son viajeros eternamente cansados. Pueden dormir durante semanas y despertar exactamente donde necesitan estar. Jamás recuerdan cómo llegaron a sus destinos.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/drowskats.png,,,,,,,,,0,,1779816376,Épico,
2586,simple,,,Stitchlings,1,1,visible,,"<p>Los Stitchlings nacen cuando alguien abandona una muñeca querida. Cada remiendo contiene fragmentos de recuerdos olvidados. Cada uno conserva más de cien historias distintas en su interior.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/stitchlings.png,,,,,,,,,0,,1779817086,Raro,
2587,simple,,,Mushgroves,1,1,visible,,"<p>Los Mushgroves viven en claros donde jamás desaparece la niebla. Sobre sus cuernos crecen hongos que indican las estaciones. Pueden encontrar agua incluso en los veranos más secos.</p>",,,taxable,,1,,,0,0,,,,,1,,,"39000,0","Criatura del bosque",,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/mushgroves.png,,,,,,,,,0,,1779816376,Épico,
2588,simple,,,Velari,1,1,visible,,"Los Velari son mensajeros entre las estaciones. Cuando uno aparece, significa que un gran cambio se aproxima. Portan plumas bendecidas por los vientos del norte.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0","Criatura del bosque",,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/velari.png,,,,,,,,,0,,1779816679,comun,
2589,simple,,,Rootfolk,1,1,visible,,"Los Rootfolk cuidan senderos ocultos que conectan bosques distantes. Recorren cientos de kilómetros sin abandonar jamás la sombra de los árboles.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0","Criatura del bosque",,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/rootfolk.png,,,,,,,,,0,,1779816510,comun,
2590,simple,,,Sporelings,1,1,visible,,"Los Sporelings son pequeños viajeros de los bosques húmedos. Cada vez que uno ríe, libera esporas luminosas que provocan sueños coloridos en quienes las respiran.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0","Criatura del bosque",,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/mycori.png,,,,,,,,,0,,1779766479,raro,
2591,simple,,,Mosskins,1,1,visible,,"Los Mosskins nacen dentro de troncos huecos cubiertos de musgo. Son guardianes silenciosos de semillas perdidas. Pueden reconocer la edad de cualquier árbol con solo tocar su corteza.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0","Criatura del bosque",,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/mosskins.png,,,,,,,,,0,,1779816376,Épico,
2592,simple,,,Carnivales,1,1,visible,,"Los Carnivales provienen de ferias desaparecidas que aparecen una vez cada siglo. Disfrutan observando a los viajeros desde las sombras mientras recopila historias extrañas para su colección personal.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/carnivales.png,,,,,,,,,0,,1779766479,mitico,
2593,simple,,,Vorabuns,1,1,visible,,"Los Vorabuns son confundidos con conejos comunes hasta que muestran su sonrisa. Se alimentan exclusivamente de frutas demasiado maduras y suelen dormir bajo raíces gigantes.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/vorabuns.png,,,,,,,,,0,,1779816376,Legendario,
2594,simple,,,Somnuks,1,1,visible,,"Los Somnuks aparecen únicamente durante las siestas profundas. Custodian puertas invisibles entre los sueños y el mundo real. Llevan una llave antigua capaz de abrir recuerdos olvidados.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/somnuks.png,,,,,,,,,0,,1779817066,Legendario,
2595,simple,,,Brimps,1,1,visible,,"Los Brimps habitan las Cavidades Carmesí, túneles subterráneos iluminados por hongos rojos. Aunque tienen apariencia demoníaca, son criaturas curiosas que coleccionan botones, llaves y objetos perdidos. Son conocidos por intercambiar tesoros brillantes por secretos.",,,taxable,,1,,,0,0,,,,,1,,,"39000,0",Raro,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/brimps.png,,,,,,,,,0,,1779817071,Épico,
2605,simple,,,Oculops,1,1,visible,,"Los Oculops habitan talleres abandonados donde permanecen herramientas olvidadas durante décadas. Su único diente frontal crece lentamente absorbiendo fragmentos de creatividad dispersos en el ambiente. Cuando encuentran una idea especialmente brillante, emiten un sonido grave que puede escucharse a través de las paredes y atraer a otros de su especie.",,,taxable,,1,,,0,0,,,,,1,,,39000,Espeluznante,,,http://10.14.6.150/wordpress/wp-content/uploads/2026/05/oculops.png,,,,,,,,,0,,1779823931,epico,
